speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,40,some you don't and you think you know if they <trunc>ev</trunc> for example if Man City play against Chelsea I want them both to lose and it's as simple,30,50_plus,think know trunc ev trunc example man city play chelsea want lose simple,50-plus,13
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,41,yeah yeah,2,50_plus,yeah yeah,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,42,as that you know,4,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,44,preferably with people being sent off,6,50_plus,preferably people sent,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,45,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,46,and all the rest of it that's right,9,50_plus,rest right,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,47,yes or well er without anyone getting harmed but,9,50_plus,yes well er without anyone getting harmed,50-plus,7
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,48,no not harmed,3,50_plus,harmed,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,49,"the ground being destroyed as well you know <vocal desc=""laugh"" />",8,50_plus,ground destroyed well know vocal desc laugh,50-plus,7
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,50,"no exactly yes <vocal desc=""laugh"" /> that's right not seriously long-lasting injuries obviously",11,50_plus,exactly yes vocal desc laugh right seriously long lasting injuries obviously,50-plus,11
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,52,that would be too much,5,50_plus,would much,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,53,when everybody's gone you know and there's sort of a ray coming down from above,17,50_plus,everybody gone know sort ray coming,50-plus,6
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,54,"<vocal desc=""laugh"" /> yeah",1,50_plus,vocal desc laugh yeah,50-plus,4
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,55,sort of flatten the place,5,50_plus,sort flatten place,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,56,<unclear />,1,50_plus,unclear,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,57,yes,1,50_plus,yes,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,58,"that's right <vocal desc=""laugh"" />",3,50_plus,right vocal desc laugh,50-plus,4
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,59,"mm yes I I my heart does not go out to er Chelsea's or <pause dur=""short"" /> especially their manager I can't stand Mourinho",23,50_plus,mm yes heart go er chelsea pause dur short especially manager stand mourinho,50-plus,13
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,60,he's a swine isn't he?,8,50_plus,swine,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,61,"mm <pause dur=""short"" /> no he's not my cup of tea",9,50_plus,mm pause dur short cup tea,50-plus,6
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,62,"no there are some insufferable people aren't there he's just one of them <pause dur=""short"" /> I was actually I was thinking about that kind of insufferability in in people and Kevin Pietersen is another example of that",37,50_plus,insufferable people one pause dur short actually thinking kind insufferability people kevin pietersen another example,50-plus,15
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,63,yes,1,50_plus,yes,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,64,er which well,3,50_plus,er well,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,65,yeah,1,50_plus,yeah,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,66,people divide on this one which side are you on this one?,13,50_plus,people divide one side one,50-plus,5
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,67,I'm I'm glad he's not being picked I I I think <trunc>th</trunc>there is a place for decency and team <trunc>sh</trunc> manship,23,50_plus,glad picked think trunc th trunc place decency team trunc sh trunc manship,50-plus,13
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,68,right,1,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,69,or you know the collegiality,5,50_plus,know collegiality,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,70,yes right,2,50_plus,yes right,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,71,and and he's a destroyer of it erm,9,50_plus,destroyer erm,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,72,true,1,50_plus,true,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,73,sometimes you have to put up with but erm I think in his case he's past his best,19,50_plus,sometimes put erm think case past best,50-plus,7
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,74,oh that's a different kettle,6,50_plus,oh different kettle,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,75,you know,2,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,76,"kettle of fish <pause dur=""short"" /> but er against that which I fully agree with you <pause dur=""short"" /> is the rather <pause dur=""short"" /> genteel <pause dur=""short"" /> criteria applied to people like Alastair Cook and others",26,50_plus,kettle fish pause dur short er fully agree pause dur short rather pause dur short genteel pause dur short criteria applied people like alastair cook others,50-plus,26
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,77,uhu,1,50_plus,uhu,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,79,mm,1,50_plus,mm,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,80,<trunc>wh</trunc>what's the phrase they used about him? well he comes from the right kind of family,18,50_plus,trunc wh trunc phrase used well comes right kind family,50-plus,10
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,81,he's a good chap isn't he?,9,50_plus,good chap,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,82,and er a good chap that's right yeah,9,50_plus,er good chap right yeah,50-plus,5
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,83,farming stock you know,4,50_plus,farming stock know,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,84,farming stock yeah,3,50_plus,farming stock yeah,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,85,or or at least his people are,7,50_plus,least people,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,86,<trunc>yea</trunc> his <trunc>peop</trunc> exactly his people are,5,50_plus,trunc yea trunc trunc peop trunc exactly people,50-plus,8
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,87,and I think he married into farming stock,8,50_plus,think married farming stock,50-plus,4
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,88,that's right as well,5,50_plus,right well,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,89,he he likes being down on the farm now,9,50_plus,likes farm,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,90,and he's a hunt and fish and shooting kind as well is he well,15,50_plus,hunt fish shooting kind well well,50-plus,6
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,91,he's a decent chap you know he's well well educated,12,50_plus,decent chap know well well educated,50-plus,6
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,92,right,1,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,93,one of us,3,50_plus,one us,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,94,yeah went to the right school obviously,7,50_plus,yeah went right school obviously,50-plus,5
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,95,he must have done,4,50_plus,must done,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,96,must have done dear boy,5,50_plus,must done dear boy,50-plus,4
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,97,you know,2,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,98,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,99,erm,1,50_plus,erm,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,100,you think if that's on the other side,9,50_plus,think side,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,101,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,102,"I'm not sure which side I'm really on here <vocal desc=""laugh"" />",11,50_plus,sure side really vocal desc laugh,50-plus,6
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,103,I know <trunc>le</trunc> <trunc>le</trunc> well it's not a perfect world is it?,12,50_plus,know trunc le trunc trunc le trunc well perfect world,50-plus,10
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,105,you know,2,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,106,that's right no,4,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,107,it's not a perfect world,6,50_plus,perfect world,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,108,that's it's right,5,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,109,you know,2,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,110,I think,2,50_plus,think,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,111,erm,1,50_plus,erm,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,112,my only point of you know sympathy for the England team is they've got Moeen Ali in it you know and you know that's,26,50_plus,point know sympathy england team got moeen ali know know,50-plus,10
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,113,uhu,1,50_plus,uhu,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,114,"<trunc>goo</trunc> that's <vocal desc=""laugh"" /> it seems to be a good thing whatever he's like as a player I don't know",20,50_plus,trunc goo trunc vocal desc laugh seems good thing whatever like player know,50-plus,13
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,115,yeah,1,50_plus,yeah,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,117,oh he's he er he's a good shows,10,50_plus,oh er good shows,50-plus,4
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,118,okay,1,50_plus,okay,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,119,a lot of promise he's not the finished article yet but he's <trunc>onl</trunc> he's only,17,50_plus,lot promise finished article yet trunc onl trunc,50-plus,8
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,120,right,1,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,121,played a handful of tests,5,50_plus,played handful tests,50-plus,3
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,122,right,1,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,123,but er,2,50_plus,er,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,124,<trunc>h</trunc>how he manages presumably with somewhat different values he's a practicing Muslim,13,50_plus,trunc h trunc manages presumably somewhat different values practicing muslim,50-plus,10
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,125,yes,1,50_plus,yes,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,126,in that kind of environment in that sort of dressing room with very secular bantery,15,50_plus,kind environment sort dressing room secular bantery,50-plus,7
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,128,entitled middle class,3,50_plus,entitled middle class,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,129,celebrating with alcohol and all this,6,50_plus,celebrating alcohol,50-plus,2
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,130,with alcohol and that kind of stuff,7,50_plus,alcohol kind stuff,50-plus,3
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,131,yes yeah yeah well he went on record as saying that erm I I want to be a good <trunc>s</trunc> a good Muslim and I want to be a good cricketer and I want to show that the two,38,50_plus,yes yeah yeah well went record saying erm want good trunc trunc good muslim want good cricketer want show two,50-plus,20
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,133,you know,2,50_plus,know,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,134,combined yeah,2,50_plus,combined yeah,50-plus,2
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,135,can can be combined,4,50_plus,combined,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,136,that's right,3,50_plus,right,50-plus,1
S0427,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,137,and erm,2,50_plus,erm,50-plus,1
S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,138,that's right yeah yeah yeah,6,50_plus,right yeah yeah yeah,50-plus,4
