speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,29,oh did she?,4,50_plus,oh,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,30,as as well <trunc>tha</trunc>that's the thing she was actually she was really big,14,50_plus,well trunc tha trunc thing actually really big,50-plus,8
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,31,right,1,50_plus,right,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,32,"er I think that's the thing that's the thing that they were <pause dur=""short"" /> they were all roles of equal status",21,50_plus,er think thing thing pause dur short roles equal status,50-plus,10
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,33,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,34,equal equal size really,4,50_plus,equal equal size really,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,35,oh that's the thing,5,50_plus,oh thing,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,36,er that was the difference between that and the film,10,50_plus,er difference film,50-plus,3
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,37,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,38,"and erm <pause dur=""short"" /> erm I just can't remember the names at all <pause dur=""short"" /> no can't remember the names at all but it's the same thing the <trunc>e</trunc>erm <pause dur=""short"" /> erm the wife was played by the the dark head actress the role of prim actress who was in the Sex and the City",52,50_plus,erm pause dur short erm remember names pause dur short remember names thing trunc e trunc erm pause dur short erm wife played dark head actress role prim actress sex city,50-plus,31
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,39,ah yeah,2,50_plus,ah yeah,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,40,"er American <pause dur=""short"" /> er",3,50_plus,er american pause dur short er,50-plus,6
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,41,that's a name I really can't remember,9,50_plus,name really remember,50-plus,3
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,42,"I can't remember either <pause dur=""short"" /> we can't always remember <pause dur=""short"" /> it's JP",13,50_plus,remember either pause dur short always remember pause dur short jp,50-plus,11
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,43,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,44,"so it's just <unclear>Barbara</unclear> and <pause dur=""short"" /> the ginger one and er of course <pause dur=""short"" /> kim Cattrall",14,50_plus,unclear barbara unclear pause dur short ginger one er course pause dur short kim cattrall,50-plus,15
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,45,oh yes,2,50_plus,oh yes,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,46,"Kim Cattrall who <pause dur=""short"" /> didn't she do some western roles?",11,50_plus,kim cattrall pause dur short western roles,50-plus,7
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,47,mm yes,2,50_plus,mm yes,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,48,and some <trunc>S</trunc><trunc>S</trunc>Sex and the City?,7,50_plus,trunc trunc trunc trunc sex city,50-plus,6
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,49,mm well she turns out to be <unclear />,8,50_plus,mm well turns unclear,50-plus,4
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,50,yeah she is isn't she?,7,50_plus,yeah,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,51,yeah from Who Do You Think You Are,8,50_plus,yeah think,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,52,yeah yeah she is she is a <unclear /> erm,9,50_plus,yeah yeah unclear erm,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,53,"by some reprobate <pause dur=""short"" /> male ancestor who ran off and left all his <pause dur=""short"" /> dependence <pause dur=""short"" /> and erm <pause dur=""short"" /> <trunc>didn</trunc> until he went to America <unclear /> turned up but <pause dur=""short"" /> it was her father or her grandfather had got all this erm <pause dur=""short"" /> I just left this country and left all these women and children",48,50_plus,reprobate pause dur short male ancestor ran left pause dur short dependence pause dur short erm pause dur short trunc trunc went america unclear turned pause dur short father grandfather got erm pause dur short left country left women children,50-plus,40
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,54,"mm <pause dur=""long"" /> well <pause dur=""short"" /> yes well I got one <pause dur=""short"" /> not far back <pause dur=""short"" /> and we don't know <trunc>wh</trunc>what happened <pause dur=""short"" /> erm <pause dur=""short"" /> yeah my cousin's still looking into it",26,50_plus,mm pause dur long well pause dur short yes well got one pause dur short far back pause dur short know trunc wh trunc happened pause dur short erm pause dur short yeah cousin still looking,50-plus,36
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,55,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,56,"and <pause dur=""short"" /> oh I thought that was a bit <pause dur=""short"" /> <trunc>th</trunc>",8,50_plus,pause dur short oh thought bit pause dur short trunc th trunc,50-plus,12
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,57,"oh no there's only one <pause dur=""short"" /> no there's two no there's one <pause dur=""short"" /> oh",15,50_plus,oh one pause dur short two one pause dur short oh,50-plus,11
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,58,"and <pause dur=""short"" /> no my cousin's still <trunc>res</trunc> still researching it but <pause dur=""short"" /> things don't things don't match up with <trunc>the</trunc> with those census records and <pause dur=""short"" /> <trunc>th</trunc>there's a family story that erm <pause dur=""short"" /> someone around that time was was married <pause dur=""short"" /> was married twice",41,50_plus,pause dur short cousin still trunc res trunc still researching pause dur short things things match trunc trunc census records pause dur short trunc th trunc family story erm pause dur short someone around time married pause dur short married twice,50-plus,41
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,59,mm,1,50_plus,mm,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,60,"er <pause dur=""short"" /> probably not bigamously <pause dur=""short"" /> but erm",6,50_plus,er pause dur short probably bigamously pause dur short erm,50-plus,10
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,61,oh right,2,50_plus,oh right,50-plus,2
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,62,so we don't know we don't know what happened that time,13,50_plus,know know happened time,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,63,alright,1,50_plus,alright,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,65,oh,1,50_plus,oh,50-plus,1
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,66,well <trunc>tha</trunc>that's not terribly far back,7,50_plus,well trunc tha trunc terribly far back,50-plus,7
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,67,"well I had a similar thing my great grandmother ran off <pause dur=""short"" /> with somebody <pause dur=""short"" /> during the First World War left five children <pause dur=""short"" /> erm who then had to go and live with their aunt",32,50_plus,well similar thing great grandmother ran pause dur short somebody pause dur short first world war left five children pause dur short erm go live aunt,50-plus,26
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,68,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,69,and run off with somebody who was ten years her junior,11,50_plus,run somebody ten years junior,50-plus,5
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,70,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,71,"and er they er then had another family and she had another four children <pause dur=""short"" /> so what with the one that died in infancy that was ten children <pause dur=""short"" /> that she had anyway she er <pause dur=""short"" /> my great grandmother divorced her <pause dur=""short"" /> and so she eventually married this other guy <pause dur=""short"" /> erm and",48,50_plus,er er another family another four children pause dur short one died infancy ten children pause dur short anyway er pause dur short great grandmother divorced pause dur short eventually married guy pause dur short erm,50-plus,36
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,72,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,73,"well she <trunc>s</trunc> lived with him the whole rest of her life and I think was very happy but erm my father er my grandmother would pretend that <trunc>sh</trunc>she died <vocal desc=""laugh"" /> and my father was always told that she was dead <pause dur=""short"" /> when in fact she wasn't she was only living about er thirty-five or forty miles away in erm in Nottingham",60,50_plus,well trunc trunc lived whole rest life think happy erm father er grandmother would pretend trunc sh trunc died vocal desc laugh father always told dead pause dur short fact living er thirty five forty miles away erm nottingham,50-plus,39
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,74,"oh wow wow <pause dur=""short"" /> mm",4,50_plus,oh wow wow pause dur short mm,50-plus,7
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,75,"and only died <pause dur=""short"" /> in the nineteen sixties so it would've been perfectly feasible to",15,50_plus,died pause dur short nineteen sixties would perfectly feasible,50-plus,9
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,76,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,77,to er have met or known her actually,8,50_plus,er met known actually,50-plus,4
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,78,mm mm,2,50_plus,mm mm,50-plus,2
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,79,"but erm <pause dur=""short"" /> but anyway she was erm <pause dur=""short"" /> her family except they don't want to know our family",18,50_plus,erm pause dur short anyway erm pause dur short family except want know family,50-plus,14
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,80,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,81,"because erm <pause dur=""short"" /> there's still somebody living from my grandmother's generation who would probably kill him of shock if he found out",23,50_plus,erm pause dur short still somebody living grandmother generation would probably kill shock found,50-plus,14
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,82,"right <pause dur=""short"" /> right <pause dur=""short"" /> mm <pause dur=""long"" /> and that's intriguing cos she didn't have any <pause dur=""short"" /> the options weren't so weren't so wide as they were now as they are were they?",32,50_plus,right pause dur short right pause dur short mm pause dur long intriguing cos pause dur short options wide,50-plus,19
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,83,"well no cos <trunc>i</trunc> cos it's of <unclear>digit transition</unclear> cos if the <pause dur=""short"" /> before erm we didn't know what happened we couldn't know if she had got married to this guy or if they'd lived together erm bigamously or <pause dur=""short"" /> erm <pause dur=""short"" /> or whether erm she had <trunc>d</trunc> she never got married to him or what had happened and erm <pause dur=""short"" /> and it would've meant that I would've needed to work out when they were likely to have been divorced",78,50_plus,well cos trunc trunc cos unclear digit transition unclear cos pause dur short erm know happened know got married guy lived together erm bigamously pause dur short erm pause dur short whether erm trunc trunc never got married happened erm pause dur short would meant would needed work likely divorced,50-plus,50
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,84,yeah,1,50_plus,yeah,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,85,"from her first husband <pause dur=""short"" /> and then worked out where it took place and I would've had to then to do sort of do quite a lot of research you know digging about manually as it were and given that she had quite a <trunc>co</trunc> not a <pause dur=""short"" /> a totally common <pause dur=""short"" /> surname but a relatively common surname she only had one first name and one surname so therefore",66,50_plus,first husband pause dur short worked took place would sort quite lot research know digging manually given quite trunc co trunc pause dur short totally common pause dur short surname relatively common surname one first name one surname therefore,50-plus,39
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,86,mm,1,50_plus,mm,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,87,even in the year where she was born there's forty or fifty women born in that same year with that exactly the same name,25,50_plus,even year born forty fifty women born year exactly name,50-plus,10
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,88,yeah,1,50_plus,yeah,50-plus,1
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,89,"and erm we didn't know the name of the man she'd run off with so erm so it all sounded a bit impossible until such time as erm one day she just popped up on a <pause dur=""short"" /> ancestry dot co dot UK search",44,50_plus,erm know name man run erm sounded bit impossible time erm one day popped pause dur short ancestry dot co dot uk search,50-plus,23
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,90,wow wow gosh yeah,4,50_plus,wow wow gosh yeah,50-plus,4
S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,91,mm so and then which was divorce record,8,50_plus,mm divorce record,50-plus,3
S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,92,right,1,50_plus,right,50-plus,1
